Fridge,Sklad
'',''
'"АкваХолод"','бн'
'"УССУРИ-ХОЛОД"','БН'
'АКВА ХОЛОД','000150'
'ВМРП','бп'
'ВМРП 113','1160'
'ВМРП 211','768'
'ВМРП 212','1029'
'ВМРП 213','1894'
'ВМРП 221','803'
'ВМРП 222','794'
'ВМРП 223','784'
'ВМРП 231','772'
'ВМРП 232','769'
'ВМРП 233','772'
'ВМРП 241','788'
'ВМРП 242','2186'
'ВМРП 243','1458'
'ВМРП 244','1791'
'Владрыбсервис','БН'
'ДВ-Порт Х1-К4','870'
'ДВ-Порт Х1-К5','871'
'ДВ-Порт Х2','853'
'ДВ-Порт Х2-К1','1518'
'ДВ-Порт Х2-К3','1210'
'ДВ-Порт Х2-К4','1233'
'ДВ-Порт Х2-К5','1224'
'ДВ-Порт Х2-К51','3'
'ДВ-Порт Х2-К6','1232'
'ДВ-Порт Х2-Конт','3'
'ДВ-Порт Хол №2','837'
'ДЕЛЬФИН',''
'ДИОМИДОВСКИЙ','БН'
'ДКП',''
'ДКП  Х-2','БН'
'ДКП  Х-4','021209'
'ДКП (ЛИФАНОВСКИ','ЛИФАНОВСКИЙ'
'ДКП Х-4','021209'
'ДКП-камера №2','БН'
'ДКП-камера №4','БН'
'ДКХ','АП ДКХ'
'ДКХ  21','361542'
'ДКХ  22','293963'
'ДКХ  25','295718'
'ДКХ  28','293897'
'ДКХ  31','323550'
'ДКХ  35','294000'
'ДКХ  36','296431'
'ДКХ  45','298332'
'ДКХ  47','324080'
