Id,DateTime,NameProd,Producer,Transport,Fridge,Sklad,Date,Lot,Weight_place,N_Items,Net_weight,Gross_weight,Comment,Color
1697,'17.06.2005 19:17','Êאלבאכא פטכו רע.למנ.','ÐÛÁÕÎËÊÀÌ','ÃÎÐÍÎ-ÀËÒÀÉÑÊ','223','532','07.09.2004','ÁÏ','25',1,25.00,28.75,"Ê=1,15",
1698,'17.06.2005 19:18','Êועא ןסד','ÐÀÊÊÒ','À.ÃÓÐÈÍ','222','146','20.01.2005','18','18',23,414.00,434.70,'',
1699,'17.06.2005 19:19','Êועא ןסד','ÐÀÊÊÒ','À.ÃÓÐÈÍ','222','152È','20.01.2005','ÁÏ','25',1,25.00,27.75,'טחכטרךט',
1700,'17.06.2005 19:20','Êטזףק ןבד','ÐÀÊÊÒ','À.ÃÓÐÈÍ','244','136','18.01.2005','ÁÏ','20',14,280.00,294.00,'',
1701,'17.06.2005 19:21','Ëמסמסü ÄÂ םאע.דמנבףרא','ÎÎÎ"ÃÐÀÍÈÊ"','ÂÈÒÈÌ','422','147','07.10.2004','8',"11,76",1,11.76,16.10,"245דנ, 1/48",
1702,'17.06.2005 19:23','Ëמסמסü ÄÂ םאע.דמנבףרא','ÎÐÊÇ - 55','ÂÈÒÈÌ','422','161','10.10.2004','8',"11,76",1,11.76,16.10,"245דנ, 1/48",
1703,'17.06.2005 19:24','Íונךא (פטכו) סמכ.למנ.','ÐÀÊÊÒ','À.ÃÓÐÈÍ','243','125','17.01.2005','ÁÏ','27',11,297.00,329.67,'',
1704,'17.06.2005 19:27','Ñוכüהü עמ ךנ.זטנ. 25+','ÐÒÌÑ"Ìכ.ÏÓÒÜ"','ÌÎËÎÄÅÆÍÛÉ','223','508','13.03.2004','9','22',7356,161832.00,169923.60,'ÁÅÒÀÐÊ-ÌÀÃÅËËÀÍ',
1705,'17.06.2005 19:30','Ñוכüהü עמ ךנ.זטנ. 25+','ÐÒÌÑ"Ìכ.ÏÓÒÜ"','ÌÎËÎÄÅÆÍÛÉ','223','509','12.03.2004','10','22',448,9856.00,10348.80,'ÁÅÒÀÐÊ-ÌÀÃÅËËÀÍ',
1706,'17.06.2005 19:32','Ñוכüהü עמ ךנ.זטנ. 25+','ÐÒÌÑ"Ìכ.ÏÓÒÜ"','ÌÎËÎÄÅÆÍÛÉ','223','508','13.03.2004','10','22',3695,81290.00,85354.50,'ÁÅÒÀÐÊ-ÌÀÃÅËËÀÍ',
1707,'17.06.2005 19:34','Ñוכüהü עמ ךנ.זטנ. L','ÏÁ"Ì.ÑÎÊÎËÎÂÑÊÈÉ"','Êמלס.Êאכטםטדנאהא','ÕÊ ÄÌÏ ¹1','ÏÎ ¹56','12.02.2005','ÁÏ','24',1863,44712.00,46947.60,'ÁÅÒÀÐÊ-ÏÁÒÔ',
1708,'17.06.2005 19:36','Ôטכו ענוסךט','ÐÀÊÊÒ','À.ÃÓÐÈÍ','243','125','17.01.2005','ÁÏ','21',1,21.00,23.31,'',
1709,'17.06.2005 19:51','Êאלבאכא ךףסמך רע.למנ.','ÐÛÁÕÎËÊÀÌ','ÑÓÁÀÐÓ','244','984','20.05.2005','ÁÏ','30',599,17970.00,19946.70,'',
1710,'17.06.2005 19:53','Êאלבאכא םנ רע.למנ.','ÐÛÁÕÎËÊÀÌ','ÑÓÁÀÐÓ','244','984','20.05.2005','ÁÏ','25',72,1800.00,1998.00,'',
1711,'17.06.2005 19:53','Êאלבאכא עףרךא רע.למנ.','ÐÛÁÕÎËÊÀÌ','ÑÓÁÀÐÓ','232','984','20.05.2005','ÁÏ','30',308,9240.00,10256.40,'',
1712,'17.06.2005 19:55','Êאלבאכא פטכו רע.למנ.','ÐÛÁÕÎËÊÀÌ','ÑÓÁÀÐÓ','244','984','20.05.2005','ÁÏ','25',160,4000.00,4440.00,'',
1713,'17.06.2005 19:59','Êאלבאכא בד בב','ÐÀÊÊÒ','ÑÓÁÀÐÓ','231','985','19.05.2005','ÁÏ','20',30,600.00,630.00,'',
1714,'17.06.2005 20:00','Êאלבאכא בד רע.למנ.','ÐÀÊÊÒ','ÑÓÁÀÐÓ','232','985','19.05.2005','ÁÏ','25',11,275.00,305.25,'',
1715,'17.06.2005 20:01','Êאלבאכא בד זב','ÐÀÊÊÒ','ÑÓÁÀÐÓ','231','985','19.05.2005','ÁÏ','20',36,720.00,756.00,'',
1716,'17.06.2005 20:01','Êאלבאכא םנ לכך.','ÐÀÊÊÒ','ÑÓÁÀÐÓ','231','985','19.05.2005','ÁÏ','20',260,5200.00,5460.00,'',
1717,'17.06.2005 20:05','Êאלבאכא םנ בב','ÐÀÊÊÒ','ÑÓÁÀÐÓ','231','985','19.05.2005','ÁÏ','20',622,12440.00,13062.00,'',
1718,'17.06.2005 20:06','Òנוסךא בד','ÐÀÊÊÒ','ÑÓÁÀÐÓ','231','985','19.05.2005','ÁÏ','20',1,20.00,21.00,'',
1719,'17.06.2005 20:07','Êאלבאכא בד זב','ÐÀÊÊÒ','ÑÓÁÀÐÓ','231','985','19.05.2005','ÁÏ','20',360,7200.00,7560.00,'',
