NameProd,Sklad
'',''
'А Корюшка НР 25+',''
'А Минтай  БГ L',''
'А Минтай  БГ S',''
'А Минтай  БГ М',''
'А Навага БГ',''
'А Навага НР',''
'А Палтус ПСГ',''
'А Треска БГ L',''
'А Треска БГ S',''
'А Треска БГ М',''
'Бычок БГ','851'
'ГОРБУША ПБГ','398982'
'Голец НР','1605'
'Горбуш ПБГ','399326'
'Горбуша БГ УМЗ',''
'Горбуша НР','1643'
'Горбуша НР 4кат','399246'
'Горбуша НР ШТ.мор','2157'
'Горбуша НР ШТУЧ.','2157'
'Горбуша ПБГ','1605'
'Горбуша ПБГ 3','БН'
'Горбуша ПБГ 4кат','399263'
'Горбуша ПБГ УМЗ','1621'
'Горбуша ПБГ с поврежд.','1605'
'Горбуша ПСГ','1612'
'Горбуша ПСГ 4кат','399294'
'Горбуша ПСГ c поврежд.','2157'
'Горбуша ПСГ ЗУБ','2157'
'Горбуша ПСГ нерест','2157'
'Икра    минтая  мор нс','612'
'Икра    минтая  мор ст','356'
'Икра  Кеты соленая','144129'
'Икра  сол.лос.горбуша','143178'
'Икра  сол.лос.кета','142638'
'Икра  сол.лос.кижуч','142635'
'Икра  сол.лос.нерка','143175'
'Икра Кеты. соленая','144456'
'Икра горб.   соленая','144455'
'Икра горб.  соленая','144455'
'Икра горб.сол','144455'
'Икра горб.соленая','144455'
'Икра горб.яст.мор.',''
'Икра горб.яст.мор. 1с','1053'
'Икра горб.яст.мор. 2с','1053'
'Икра горб.яст.мор. 3с','1053'
'Икра горб.яст.мор. OFF','1306'
'Икра горб.яст.мор. S','1059'
'Икра камбалы мор.','кс'
'Икра керты.соленая.','БН'
