NameProd,Producer,Transport,Fridge,Sklad,Date,Lot,Packing,Weight_place,N_Items,Net_weight,Gross_weight,Comment,Color
'Горбуша ПБГ','ВАЗИКОВ','Автомашина 1','Уссури-холод','БН','29.10.2012 05:24','58','мешок','22',2730,60060.00,63063.00,'ХРАНЕНИЕ БЕТАРК',65535
'Горбуша ПБГ','ВАЗИКОВ','Автомашина 2','Уссури-холод','БН','30.10.2012 05:24','58','мешок','22',778,17116.00,17971.00,'ХРАНЕНИЕ БЕТАРК',65535
'Горбуша ПБГ','ВАЗИКОВ','Фрост Олимпос','ДКХ 32','399330','17.10.2012 05:24','58','мешок','22',456,10032.00,10533.60,'ХРАНЕНИЕ ИП ВАЗИКОВ И.К.',16776960
'Горбуша ПБГ','ВАЗИКОВ','Фрост Олимпос','ДКХ 32','399330','17.10.2013 05:24','58 ДРРЫ','мешок','22',68,1496.00,1570.80,'ХРАНЕНИЕ ИП ВАЗИКОВ И.К.  ДАРЫ МОРЯ          ХРАНЕНИЕ ООО РПК "БЕТАРК"',16776960
'Горбуша ПБГ','ВАЗИКОВ','Фрост Олимпос','ДКХ 35','399326','16.10.2012 05:24','58 ДАРЫ','мешок','22',200,4400.00,4620.00,'ХРАНЕНИЕ ИП ВАЗИКОВ И.К.  ДАРЫ МОРЯ          ХРАНЕНИЕ ООО РПК "БЕТАРК"',16776960
'Горбуша ПБГ','ВАЗИКОВ','Фрост Олимпос','ДКХ 35','399327','17.10.2012 05:24','58 ДАРЫ','мешок','22',1140,25080.00,26334.00,'ХРАНЕНИЕ ИП ВАЗИКОВ И.К.  ДАРЫ МОРЯ          ХРАНЕНИЕ ООО РПК "БЕТАРК"',16776960
'Горбуша ПБГ','РАККТ','Автомашина 1','Уссури-холод','БН','14.10.2012 05:24','БП','мешок','20',150,3000.00,3150.00,'',65535
'Горбуша ПБГ','РАККТ','Автомашина 2','Уссури-холод','БН','15.10.2012 05:24','БП','мешок','20',3014,60280.00,63294.00,'',65535
'Горбуша ПБГ','РАККТ','Автомашина 3','Уссури-холод','БН','10.12.2012 05:24','БП','мешок','20',2892,57840.00,60732.00,'',65535
'Горбуша ПБГ','РАККТ','Автомашина 4','Уссури-холод','БН','11.12.2012 05:24','БП','мешок','20',2908,58160.00,61068.00,'',65535
'Горбуша ПБГ','РАККТ','Автомашина 5','Уссури-холод','БН','12.12.2012 05:24','БП','мешок','20',2724,54480.00,57204.00,'',65535
'Горбуша ПБГ','РАККТ','Фрост Олимпос','ДКХ 150','399297','14.10.2012 05:24','Кон №15','мешок','20',631,12620.00,13251.00,'',16776960
'Горбуша ПБГ 4кат','РАККТ','АВТОМАШИНА','ТРАСТ','БН','17.12.2012 05:24','4кат','мешок','20',1148,22960.00,24108.00,'',16711935
'Горбуша ПСГ','ВАЗИКОВ','ПЛУТОНАС','ВМРП 213','2157','30.10.2012 05:24','56','мешок','22',190,4180.00,4389.00,'ХРАНЕНИЕ ИП ВАЗИКОВ И.К.    ЗУБАТКА',
'Горбуша ПСГ','ВАЗИКОВ','Фрост Олимпос','ДКХ 26','399333','17.10.2012 05:24','57','мешок','22',53,1166.00,1224.30,'ХРАНЕНИЕ ИП ВАЗИКОВ И.К.',16776960
'Горбуша ПСГ','РАККТ','Автомашина','ВМРП 211','239','11.02.2013 05:24','БРАК','мешок','20',57,1140.00,1197.00,'БРАК',
'Горбуша ПСГ','РАККТ','Фрост Олимпос','ДКХ 22','399495','14.10.2012 05:24','Кон №34','мешок','20',112,2240.00,2352.00,'',16776960
'Горбуша ПСГ','РАККТ','Фрост Олимпос','ДКХ 47','399245','11.10.2012 05:24','Кон №25','мешок','20',1115,22300.00,23415.00,'',16776960
'Горбуша ПСГ','РАККТ','Фрост Олимпос','ДКХ 47','399271','13.10.2012 05:24','Кон №15','мешок','20',2016,40320.00,42336.00,'',16776960
'Икра горб.   соленая','ИП Борисик А.П.','Автомашина','ДКХ 05','144455','04.02.2013 05:24','БП','ящик',"14,040",3,42.12,46.75,'',16776960
'Икра кеты.  соленая','ИП Борисик А.П.','Автомашина','ДКХ 05','144456','04.02.2013 05:24','БП','ящик',"14,040",5,70.20,77.92,'',16776960
'Икра лосос.соленая','ИП Борисик А.П.','Автомашина','ДКХ 05','144457','04.02.2012 05:24','БП','ящик',"14,040",1,14.04,15.58,'1ящ.икра горбуши 52банки=кета 32 банки',16776960
'Кета ПБГ','ВАЗИКОВ','ПЛУТОНАС','ВМРП 213','2143','29.10.2012 05:24','50 1cорт','мешок',"19,922",68,1354.70,1422.08,'ХРАНЕНИЕ ИП ВАЗИКОВ И.К.',
'Кета ПБГ','РАККТ','ОРИОН','ВМРП 211','1605','20.08.2012 05:24','Кон№14-06','мешок','20',65,1300.00,1365.00,'',
'Кета ПБГ','РАККТ','ПЛУТОНАС','ВМРП 221','2173','03.11.2012 05:24','Кон №64','мешок','20',47,940.00,987.00,'',
'Кета ПБГ','РАККТ','ПЛУТОНАС','ВМРП 241','2173','03.11.2012 05:24','Кон №71','мешок','20',467,9340.00,9807.00,'',
'Кета ПБГ','РАККТ','СМОЛЬНИНСКИЙ','ДКХ 33','373879','03.10.2012 05:24','Кон №23/07','мешок','20',341,6820.00,7161.00,'',16776960
'Кета ПБГ','РАККТ','Фрост Олимпос','ДКХ 45','373933','13.10.2012 05:24','Кон №15','мешок','20',287,5740.00,6027.00,'',16776960
'Кета ПБГ','РАККТ','Фрост Олимпос','ДКХ 47','373900','11.10.2012 05:24','Кон №25','мешок','20',246,4920.00,5166.00,'',16776960
'Кета ПБГ','РАККТ','Фрост Олимпос','ДКХ 47','373901','12.10.2012 05:24','Кон №34','мешок','20',185,3700.00,3885.00,'',16776960
'Кета ПБГ Р/В','ВАЗИКОВ','Фрост Олимпос','ДКХ 26','373922','17.10.2012 05:24','50 1сорт','мешок',"20,09947",20,401.99,422.00,'ХРАНЕНИЕ ИП ВАЗИКОВ И.К.',16776960
'Кета ПБГ Р/В','ВАЗИКОВ','Фрост Олимпос','ДКХ 31','373920','17.10.2012 05:24','53 сандарт','мешок',"19,6059",68,1333.20,1400.00,'ХРАНЕНИЕ ИП ВАЗИКОВ И.К.',16776960
'Кета ПБГ Р/В','ВАЗИКОВ','Фрост Олимпос','ДКХ 31','373921','17.10.2012 05:24','50 1сорт','мешок',"20,09947",567,11396.40,11966.20,'ХРАНЕНИЕ ИП ВАЗИКОВ И.К.',16776960
'Кета ПБГ ШТ.мор','ВАЗИКОВ','ПЛУТОНАС','ВМРП 213','2157','30.10.2012 05:24','стандарт','ящик','27',9,243.00,269.73,'ХРАНЕНИЕ ИП ВАЗИКОВ И.К.',
'Кета ПБГ ШТ.мор.','ВАЗИКОВ','Фрост Олимпос','ДКХ 18','373913','14.10.2012 05:24','К','ящик','27',179,4833.00,5364.63,'ХРАНЕНИЕ ИП ВАЗИКОВ И.К.',16776960
'Кета ПБГ ШТ.мор.','ВАЗИКОВ','Фрост Олимпос','ДКХ 18','373913','14.10.2012 05:24','КУ','ящик','27',27,729.00,809.19,'ХРАНЕНИЕ ИП ВАЗИКОВ И.К.',16776960
'Корюшка  НР','ВАЗИКОВ','ПЛУТОНАС','ВМРП 213','2143','29.10.2012 05:24','6','мешок','22',784,17248.00,18110.40,'ХРАНЕНИЕ ИП ВАЗИКОВ И.К.',
'Корюшка  НР','ВАЗИКОВ','СМОЛЬНИНСКИЙ','ВМРП 243','2273','12.11.2012 05:24','6','мешок','22',512,11264.00,11827.20,'ХРАНЕНИЕ ИП ВАЗИКОВ И.К.',
'Корюшка НР','РАККТ','АМУР-ЛИМАН','ДКХ 45','250238','29.11.2012 05:24','Кон №50/07','мешок','20',1118,22360.00,23478.00,'',16776960
'Нерка БГ ШТ.мор','ВАЗИКОВ','ПЛУТОНАС','ВМРП 213','2157','30.10.2012 05:24','155','мешок',"19,358",1,19.36,20.32,'ХРАНЕНИЕ ИП ВАЗИКОВ И.К. СОЛЕНАЯ',
'Нерка ПБГ','ВАЗИКОВ','ПЛУТОНАС','ВМРП 213','2157','30.10.2012 05:24','55','мешок','22',667,14674.00,15407.70,'ХРАНЕНИЕ ИП ВАЗИКОВ И.К.',
'Нерка ПБГ 2М','РАККТ','ОРИОН','ВМРП 221','1636','23.08.2012 05:24','Кон№05-06','мешок','20',45,900.00,945.00,'',
'Нерка ПБГ < 1кг','РАККТ','Автомашина','ВМРП 211','129','22.01.2013 05:24','БП','мешок','15',2,30.00,31.50,'БРАК мешки нарушены',
'Нерка ПБГ < 1кг','РАККТ','Автомашина','ВМРП 211','129','22.01.2013 05:24','БП','мешок','20',98,1960.00,2058.00,'БРАК',
'Нерка ПБГ S','РАККТ','ОРИОН','ВМРП 241','1651','26.08.2012 05:24','Кон№01-06','мешок','20',19,380.00,399.00,'',
'Нерка ПСГ  < 1кг','РАККТ','Автомашина','ВМРП 211','129','22.01.2013 05:24','БП','мешок','20',26,520.00,546.00,'БРАК',
'Нерка ПСГ  < 1кг','РАККТ','Автомашина','ВМРП 211','2536','17.12.2012 05:24','БП','мешок','10',5,50.00,52.50,'БРАК',
'Нерка ПСГ  < 1кг','РАККТ','Автомашина','ВМРП 211','2536','17.12.2012 05:24','БП','мешок','20',30,600.00,630.00,'БРАК',
'Треска БГ L','РАККТ','АМУР-ЛИМАН','ДКХ 22','325337','28.11.2012 05:24','Кон №50/07','мешок','20',1285,25700.00,26985.00,'',16776960
'Треска БГ L','РАККТ','ПЛУТОНАС','ВМРП 241','147','02.11.2012 05:24','Кон №70','мешок','20',370,7400.00,7770.00,'ДАРЫ МОРЯ',
